application_id,destination_country,visa_type,nationality,application_date,decision_date,processing_time_days,visa_status,processing_center,biometric_required,interview_required,application_mode
VISA000001,USA,Visiting,India,2022-04-13,2022-06-13,61,Approved,Bengaluru,Yes,Yes,Online
VISA000002,UK,Student,Nigeria,2023-03-12,2023-05-02,51,Approved,Beijing,Yes,No,Offline
VISA000003,UK,Work,Bangladesh,2022-09-28,2022-11-07,40,Approved,Shanghai,No,Yes,Online
VISA000004,USA,Student,Philippines,2022-04-17,2022-06-06,50,Approved,Manila,No,Yes,Online
VISA000005,Canada,Work,Bangladesh,2022-03-13,2022-05-15,63,Approved,Chennai,Yes,Yes,Online
VISA000006,UK,Work,Nigeria,2023-12-02,2024-01-03,32,Approved,Dhaka,No,No,Offline
VISA000007,Canada,Student,India,2022-01-21,2022-03-29,67,Rejected,Shanghai,Yes,Yes,Online
VISA000008,USA,Visiting,Nigeria,2023-09-07,2023-11-04,58,Approved,Bengaluru,Yes,No,Online
VISA000009,Australia,Visiting,India,2022-05-02,2022-06-23,52,Approved,Chennai,Yes,No,Offline
VISA000010,Australia,Work,China,2023-04-12,2023-05-27,45,Approved,Mumbai,Yes,Yes,Online
VISA000011,UK,Visiting,India,2022-08-03,2022-09-19,47,Approved,Sao Paulo,No,No,Online
VISA000012,USA,Work,China,2022-11-27,2023-01-29,63,Approved,Manila,Yes,No,Offline
VISA000013,Canada,Visiting,China,2023-04-04,2023-05-27,53,Approved,Sao Paulo,Yes,No,Online
VISA000014,UK,Work,India,2022-03-29,2022-05-15,47,Approved,Chennai,No,Yes,Offline
VISA000015,USA,Visiting,Philippines,2023-01-08,2023-03-11,62,Approved,Chennai,No,No,Online
VISA000016,USA,Tourist,Brazil,2022-04-10,2022-06-11,62,Approved,Sao Paulo,Yes,Yes,Online
VISA000017,Canada,Student,India,2023-10-26,2023-12-01,36,Approved,Bengaluru,Yes,No,Offline
VISA000018,UK,Tourist,Bangladesh,2022-05-11,2022-07-13,63,Approved,Bengaluru,Yes,Yes,Online
VISA000019,USA,Student,Philippines,2023-10-24,2024-01-24,92,Rejected,Abuja,Yes,Yes,Online
VISA000020,USA,Student,Philippines,2022-11-05,2023-01-06,62,Approved,Mumbai,No,No,Offline
VISA000021,USA,Work,Bangladesh,2022-12-10,2023-01-08,29,Approved,Bengaluru,No,No,Offline
VISA000022,Canada,Student,Brazil,2023-05-07,2023-07-03,57,Approved,Mumbai,Yes,Yes,Offline
VISA000023,UK,Tourist,Philippines,2023-02-18,2023-03-17,27,Approved,Mumbai,Yes,Yes,Online
VISA000024,UK,Tourist,China,2023-01-21,2023-05-03,102,Rejected,Chennai,Yes,Yes,Online
VISA000025,UK,Visiting,Brazil,2022-07-11,2022-10-07,88,Rejected,Mumbai,No,No,Online
VISA000026,UK,Tourist,Bangladesh,2022-10-04,2022-11-18,45,Approved,Manila,Yes,No,Online
VISA000027,Australia,Visiting,Brazil,2022-06-10,2022-07-01,21,Approved,Sao Paulo,Yes,No,Offline
VISA000028,Australia,Student,India,2023-04-05,2023-05-16,41,Approved,Abuja,Yes,Yes,Online
VISA000029,UK,Tourist,Brazil,2022-11-10,2023-01-01,52,Approved,Shanghai,Yes,Yes,Online
VISA000030,Canada,Student,China,2022-01-22,2022-02-19,28,Approved,Beijing,Yes,No,Online
VISA000031,Australia,Tourist,India,2022-09-10,2022-11-02,53,Approved,Abuja,Yes,No,Online
VISA000032,USA,Tourist,Nigeria,2023-07-15,2023-09-05,52,Approved,Manila,No,Yes,Offline
VISA000033,Australia,Visiting,Bangladesh,2023-04-20,2023-06-15,56,Approved,Abuja,No,No,Online
VISA000034,USA,Student,Bangladesh,2022-02-28,2022-04-27,58,Approved,Mumbai,No,Yes,Online
VISA000035,UK,Tourist,Brazil,2023-05-26,2023-07-05,40,Approved,Chennai,Yes,Yes,Offline
VISA000036,Australia,Work,Philippines,2023-11-13,2023-12-25,42,Approved,Beijing,Yes,Yes,Online
VISA000037,Canada,Student,India,2023-04-21,2023-06-15,55,Approved,Bengaluru,Yes,Yes,Online
VISA000038,Australia,Student,Nigeria,2023-12-01,2024-01-15,45,Approved,Chennai,Yes,Yes,Online
VISA000039,Australia,Student,India,2022-07-09,2022-09-15,68,Rejected,Mumbai,No,Yes,Online
VISA000040,Australia,Visiting,Bangladesh,2023-11-18,2024-01-12,55,Approved,Mumbai,Yes,Yes,Online
VISA000041,UK,Work,India,2023-07-17,2023-10-07,82,Rejected,Beijing,Yes,No,Offline
VISA000042,Canada,Student,Nigeria,2023-07-21,2023-09-26,67,Rejected,Beijing,No,Yes,Online
VISA000043,Australia,Tourist,Philippines,2022-09-01,2022-11-11,71,Rejected,Dhaka,No,Yes,Offline
VISA000044,Canada,Tourist,Brazil,2023-05-20,2023-07-15,56,Approved,Chennai,Yes,Yes,Offline
VISA000045,UK,Visiting,China,2022-05-11,2022-07-07,57,Approved,Bengaluru,Yes,Yes,Online
VISA000046,USA,Tourist,India,2023-04-30,2023-07-19,80,Rejected,Abuja,Yes,No,Online
VISA000047,Australia,Student,China,2023-10-09,2023-11-27,49,Approved,Mumbai,Yes,Yes,Online
VISA000048,Canada,Tourist,Bangladesh,2022-01-21,2022-03-25,63,Approved,Mumbai,Yes,No,Online
VISA000049,Canada,Student,Brazil,2022-06-16,2022-08-06,51,Approved,Dhaka,Yes,No,Offline
VISA000050,UK,Tourist,Brazil,2022-10-01,2022-11-20,50,Approved,Chennai,No,Yes,Online
VISA000051,Australia,Work,India,2023-01-23,2023-03-01,37,Approved,Chennai,Yes,Yes,Online
VISA000052,USA,Visiting,Philippines,2023-08-24,2023-10-06,43,Approved,Sao Paulo,Yes,Yes,Online
VISA000053,Canada,Visiting,Brazil,2022-11-12,2022-12-23,41,Approved,Beijing,Yes,Yes,Online
VISA000054,Australia,Work,India,2022-01-14,2022-03-18,63,Approved,Bengaluru,Yes,No,Online
VISA000055,USA,Work,India,2022-08-30,2022-11-08,70,Rejected,Beijing,No,Yes,Online
VISA000056,Canada,Visiting,China,2022-12-12,2023-02-03,53,Approved,Bengaluru,Yes,Yes,Online
VISA000057,Canada,Work,Brazil,2023-07-19,2023-09-15,58,Approved,Manila,Yes,Yes,Online
VISA000058,USA,Student,India,2022-12-06,2023-01-27,52,Approved,Shanghai,Yes,Yes,Online
VISA000059,USA,Tourist,China,2022-04-02,2022-05-14,42,Approved,Bengaluru,No,Yes,Online
VISA000060,UK,Visiting,Nigeria,2023-01-02,2023-03-10,67,Rejected,Beijing,Yes,Yes,Online
VISA000061,Australia,Work,China,2023-03-31,2023-06-03,64,Approved,Mumbai,No,Yes,Online
VISA000062,Australia,Student,China,2023-03-04,2023-03-30,26,Approved,Beijing,Yes,Yes,Online
VISA000063,UK,Visiting,India,2023-05-24,2023-07-13,50,Approved,Bengaluru,Yes,No,Online
VISA000064,Canada,Work,Bangladesh,2022-02-04,2022-03-17,41,Approved,Chennai,Yes,No,Offline
VISA000065,USA,Visiting,Bangladesh,2022-07-25,2022-09-12,49,Approved,Beijing,No,Yes,Online
VISA000066,USA,Work,Philippines,2022-03-22,2022-05-05,44,Approved,Dhaka,No,Yes,Online
VISA000067,USA,Visiting,Bangladesh,2023-07-16,2023-09-08,54,Approved,Sao Paulo,Yes,No,Offline
VISA000068,Canada,Student,China,2023-01-23,2023-03-14,50,Approved,Mumbai,Yes,Yes,Offline
VISA000069,USA,Student,Philippines,2022-01-02,2022-02-20,49,Approved,Dhaka,Yes,Yes,Online
VISA000070,USA,Tourist,India,2023-01-25,2023-04-06,71,Rejected,Bengaluru,Yes,Yes,Online
VISA000071,UK,Visiting,Brazil,2023-07-20,2023-09-21,63,Approved,Manila,Yes,No,Online
VISA000072,Canada,Tourist,China,2022-04-16,2022-05-30,44,Approved,Dhaka,No,Yes,Online
VISA000073,Australia,Visiting,China,2023-04-22,2023-06-07,46,Approved,Shanghai,No,No,Offline
VISA000074,UK,Work,Philippines,2023-12-04,2024-02-04,62,Approved,Manila,Yes,No,Online
VISA000075,UK,Work,India,2023-02-06,2023-04-09,62,Approved,Abuja,Yes,No,Online
VISA000076,Australia,Tourist,Nigeria,2023-12-31,2024-02-14,45,Approved,Mumbai,No,No,Online
VISA000077,UK,Visiting,China,2023-07-10,2023-08-30,51,Approved,Abuja,No,Yes,Online
VISA000078,Canada,Tourist,Nigeria,2022-06-11,2022-09-01,82,Rejected,Beijing,Yes,Yes,Online
VISA000079,USA,Student,Nigeria,2022-07-21,2022-09-05,46,Approved,Bengaluru,Yes,No,Offline
VISA000080,Canada,Tourist,Bangladesh,2022-09-27,2022-12-19,83,Rejected,Mumbai,Yes,No,Online
VISA000081,Australia,Tourist,India,2022-09-28,2022-12-08,71,Rejected,Chennai,Yes,Yes,Online
VISA000082,Australia,Work,Nigeria,2023-04-01,2023-06-20,80,Rejected,Manila,Yes,No,Online
VISA000083,UK,Tourist,India,2023-04-07,2023-05-22,45,Approved,Chennai,Yes,Yes,Online
VISA000084,Canada,Visiting,Bangladesh,2023-12-28,2024-02-18,52,Approved,Abuja,Yes,Yes,Online
