application_id,destination_country,visa_type,nationality,application_date,decision_date,processing_time_days,processing_time_weeks,visa_status,processing_center,biometric_required,interview_required,application_mode
VISA00001,Australia,Tourist,Nigeria,2022-10-16,2022-11-22,37.0,5.29,Approved,Abuja,Yes,Yes,Online
VISA00002,Australia,Student,India,2022-03-12,2022-05-19,68.0,9.71,Approved,Chennai,Yes,No,
VISA00003,Australia,Tourist,Brazil,2022-02-04,,,,Pending,Sao Paulo,No,Yes,
VISA00004,Canada,Work,Bangladesh,2022-04-01,2022-06-13,73.0,10.43,Approved,Dhaka,Yes,No,Offline
VISA00005,Canada,Student,Philippines,2022-02-08,2022-04-18,69.0,9.86,Approved,Manila,Yes,Yes,
VISA00006,USA,Work,Brazil,2023-05-03,2023-06-18,46.0,6.57,Approved,Sao Paulo,Yes,No,Offline
VISA00007,Australia,Work,Bangladesh,2022-11-22,,,,Pending,Dhaka,No,Yes,Online
VISA00008,USA,Student,Nigeria,2023-05-19,2023-07-23,65.0,9.29,Approved,Abuja,No,Yes,Online
VISA00009,UK,Work,China,2022-12-07,2023-01-28,52.0,7.43,Approved,Beijing,Yes,Yes,Online
VISA00010,Australia,Tourist,India,2023-01-19,2023-02-15,27.0,3.86,Approved,Mumbai,Yes,No,Online
VISA00011,UK,Student,China,2023-05-18,2023-07-13,56.0,8.0,Approved,Beijing,Yes,Yes,
VISA00012,Australia,Work,India,2023-05-10,2023-06-14,35.0,5.0,Approved,Bengaluru,No,Yes,Offline
VISA00013,Australia,Tourist,Nigeria,2022-03-13,,,,Pending,Lagos,Yes,Yes,
VISA00014,USA,Tourist,China,2022-09-16,2022-11-23,68.0,9.71,Approved,Shanghai,No,Yes,Online
VISA00015,Canada,Tourist,Brazil,2023-01-13,2023-03-02,48.0,6.86,Approved,Sao Paulo,No,No,Online
VISA00016,Canada,Work,Pakistan,2022-01-11,2022-02-02,22.0,3.14,Approved,Lahore,No,Yes,
VISA00017,Australia,Student,Philippines,2022-05-22,2022-06-20,29.0,4.14,Approved,Manila,Yes,Yes,
VISA00018,USA,Tourist,Philippines,2022-05-02,2022-06-02,31.0,4.43,Rejected,Manila,No,No,Offline
VISA00019,Canada,Student,Nigeria,2022-07-08,,,,Pending,Lagos,Yes,Yes,Online
VISA00020,USA,Work,Philippines,2023-02-12,2023-03-17,33.0,4.71,Rejected,Manila,No,Yes,Online
VISA00021,UK,Tourist,Philippines,2022-10-30,2023-01-03,65.0,9.29,Rejected,Manila,No,Yes,
VISA00022,UK,Tourist,Pakistan,2023-06-14,2023-08-11,58.0,8.29,Approved,Islamabad,Yes,Yes,
VISA00023,Canada,Student,Brazil,2022-12-30,2023-03-02,62.0,8.86,Approved,Sao Paulo,Yes,Yes,
VISA00024,USA,Work,Brazil,2023-03-30,2023-05-26,57.0,8.14,Approved,Sao Paulo,Yes,Yes,Online
VISA00025,USA,Tourist,India,2022-09-10,2022-11-11,62.0,8.86,Approved,Bengaluru,No,No,Online
VISA00026,UK,Tourist,Philippines,2023-05-14,2023-07-25,72.0,10.29,Approved,Manila,Yes,Yes,Offline
VISA00027,UK,Tourist,Nigeria,2022-08-10,2022-10-03,54.0,7.71,Rejected,Abuja,No,Yes,Offline
VISA00028,UK,Tourist,Philippines,2023-01-27,2023-04-12,75.0,10.71,Rejected,Manila,Yes,Yes,Offline
VISA00029,Australia,Tourist,Nigeria,2022-05-29,2022-06-27,29.0,4.14,Approved,Abuja,No,No,
VISA00030,USA,Work,China,2022-06-20,2022-08-01,42.0,6.0,Rejected,Shanghai,No,Yes,Offline
VISA00031,UK,Student,India,2023-06-12,2023-08-19,68.0,9.71,Approved,New Delhi,Yes,Yes,
VISA00032,Australia,Work,China,2022-06-10,,,,Pending,Shanghai,No,No,Offline
VISA00033,Canada,Student,Pakistan,2023-01-29,2023-02-21,23.0,3.29,Rejected,Lahore,Yes,No,
VISA00034,USA,Tourist,Brazil,2022-03-18,2022-04-14,27.0,3.86,Approved,Sao Paulo,No,No,Online
VISA00035,Canada,Student,India,2022-04-07,,,,Pending,Hyderabad,No,No,Online
VISA00036,Canada,Student,Bangladesh,2023-03-19,2023-04-09,21.0,3.0,Approved,Dhaka,No,No,
VISA00037,Australia,Work,Nigeria,2022-01-19,2022-02-10,22.0,3.14,Rejected,Lagos,Yes,Yes,Online
VISA00038,Australia,Work,Philippines,2022-12-13,2023-01-13,31.0,4.43,Approved,Manila,No,Yes,Online
VISA00039,Canada,Work,China,2023-06-09,2023-08-18,70.0,10.0,Approved,Beijing,No,No,Online
